Date,Month,Quarter,Day_of_Week,State,Category,Sales_Channel,Payment_Method,Customer_Gender,Customer_Age,Unit_Price_NGN,Quantity_Sold,Discount_Percent,Revenue_NGN,Profit_Margin,Profit_NGN,Customer_Rating,Item_Returned
2023-10-29,October,Q4,Sunday,Port Harcourt,Cosmetics,Online,POS,Male,69,13000.0,4,15,44200.0,0.3039,13432.38,4.2,1
2023-05-23,May,Q2,Tuesday,Ibadan,Home Appliances,Physical Store,Bank Transfer,Male,22,88400.0,3,5,251940.0,0.3405,85785.57,1.6,0
2023-01-04,January,Q1,Wednesday,Lagos,Clothing,Physical Store,Cash,Female,30,8300.0,9,5,70965.0,0.3676,26086.73,2.2,0
2023-03-23,March,Q1,Thursday,Port Harcourt,Electronics,Online,Cash,Male,38,155800.0,8,0,1246400.0,0.2886,359711.04,4.0,0
2023-12-24,December,Q4,Sunday,Abuja,Home Appliances,Physical Store,POS,Female,29,263800.0,1,15,224230.0,0.1101,24687.72,2.9,0
2023-08-05,August,Q3,Saturday,Enugu,Cosmetics,Physical Store,Cash,Female,38,20800.0,6,10,112320.0,0.2458,27608.26,3.8,0
2023-06-24,June,Q2,Saturday,Ibadan,Home Appliances,Online,Bank Transfer,Male,34,253600.0,9,0,2282400.0,0.1064,242847.36,2.7,0
2023-05-23,May,Q2,Tuesday,Port Harcourt,Electronics,Wholesale,Cash,Female,69,221200.0,7,10,1393560.0,0.2186,304632.22,2.9,0
2023-03-21,March,Q1,Tuesday,Lagos,Books & Stationery,Wholesale,Bank Transfer,Female,44,3000.0,4,5,11400.0,0.2184,2489.76,2.1,0
2023-04-21,April,Q2,Friday,Lagos,Books & Stationery,Online,Bank Transfer,Female,71,4700.0,13,0,61100.0,0.1024,6256.64,2.4,0
2023-06-22,June,Q2,Thursday,Kano,Home Appliances,Online,Cash,Female,35,8100.0,17,5,130815.0,0.1986,25979.86,3.6,0
2023-02-22,February,Q1,Wednesday,Kano,Food & Beverage,Physical Store,POS,Female,44,3800.0,2,5,7220.0,0.1177,849.79,3.0,0
2023-02-17,February,Q1,Friday,Kaduna,Home Appliances,Physical Store,Mobile Money,Female,39,124900.0,5,0,624500.0,0.3548,221572.6,4.2,0
2023-07-14,July,Q3,Friday,Abuja,Clothing,Online,Cash,Female,33,27400.0,12,20,263040.0,0.4022,105794.69,4.5,0
2023-02-19,February,Q1,Sunday,Benin City,Clothing,Online,Bank Transfer,Female,25,30500.0,8,15,207400.0,0.1046,21694.04,3.4,1
2023-07-03,July,Q3,Monday,Port Harcourt,Books & Stationery,Online,Bank Transfer,Male,56,4100.0,6,10,22140.0,0.4047,8960.06,4.2,0
2023-06-26,June,Q2,Monday,Port Harcourt,Food & Beverage,Physical Store,Cash,Male,23,5600.0,8,5,42560.0,0.2577,10967.71,2.6,0
2023-11-06,November,Q4,Monday,Benin City,Electronics,Physical Store,POS,Female,41,86600.0,18,5,1480860.0,0.1819,269368.43,3.0,0
2023-05-16,May,Q2,Tuesday,Kaduna,Clothing,Online,POS,Male,44,22900.0,3,10,61830.0,0.1061,6560.16,4.0,0
2023-01-23,January,Q1,Monday,Enugu,Books & Stationery,Physical Store,Bank Transfer,Female,25,7300.0,12,5,83220.0,0.2502,20821.64,2.9,0
2023-08-24,August,Q3,Thursday,Enugu,Cosmetics,Physical Store,Bank Transfer,Female,32,24200.0,3,0,72600.0,0.3501,25417.26,3.6,1
2023-10-02,October,Q4,Monday,Kaduna,Books & Stationery,Online,POS,Male,17,2000.0,6,5,11400.0,0.3204,3652.56,2.1,0
2023-03-05,March,Q1,Sunday,Enugu,Clothing,Online,Mobile Money,Female,21,6600.0,2,15,11220.0,0.0971,1089.46,3.6,0
2023-07-13,July,Q3,Thursday,Kano,Clothing,Physical Store,Cash,Female,20,24600.0,12,5,280440.0,0.1048,29390.11,4.5,0
2023-02-10,February,Q1,Friday,Port Harcourt,Books & Stationery,Wholesale,Bank Transfer,Female,43,5400.0,2,0,10800.0,0.217,2343.6,4.5,0
2023-10-10,October,Q4,Tuesday,Kaduna,Electronics,Physical Store,Bank Transfer,Female,56,127300.0,6,10,687420.0,0.1804,124010.57,4.0,0
2023-05-31,May,Q2,Wednesday,Port Harcourt,Home Appliances,Physical Store,POS,Male,20,230600.0,17,0,3920200.0,0.159,623311.8,4.1,0
2023-11-18,November,Q4,Saturday,Benin City,Clothing,Online,Cash,Female,33,34500.0,3,0,103500.0,0.1755,18164.25,3.5,0
2023-11-13,November,Q4,Monday,Lagos,Books & Stationery,Physical Store,POS,Female,41,5600.0,2,0,11200.0,0.3532,3955.84,3.5,0
2023-07-05,July,Q3,Wednesday,Kano,Books & Stationery,Physical Store,Cash,Female,35,2400.0,8,0,19200.0,0.3959,7601.28,2.0,0
2023-10-23,October,Q4,Monday,Ibadan,Food & Beverage,Online,Cash,Male,56,2800.0,12,10,30240.0,0.2177,6583.25,3.1,0
2023-04-09,April,Q2,Sunday,Kano,Home Appliances,Online,Cash,Female,64,14600.0,4,5,55480.0,0.3881,21531.79,3.1,1
2023-12-27,December,Q4,Wednesday,Kaduna,Cosmetics,Online,Bank Transfer,Male,42,8500.0,5,0,42500.0,0.1893,8045.25,4.9,0
2023-02-05,February,Q1,Sunday,Ibadan,Electronics,Online,Mobile Money,Male,64,174200.0,13,15,1924910.0,0.242,465828.22,3.0,0
2023-01-24,January,Q1,Tuesday,Lagos,Cosmetics,Online,POS,Female,27,25700.0,15,15,327675.0,0.1568,51379.44,3.4,0
2023-12-05,December,Q4,Tuesday,Kaduna,Home Appliances,Online,Mobile Money,Female,22,27800.0,16,15,378080.0,0.2978,112592.22,3.4,1
2023-04-27,April,Q2,Thursday,Abuja,Home Appliances,Online,POS,Male,18,120700.0,10,0,1207000.0,0.4129,498370.3,3.7,1
2023-05-29,May,Q2,Monday,Port Harcourt,Home Appliances,Online,Cash,Female,25,179300.0,16,5,2725360.0,0.2852,777272.67,4.1,0
2023-02-10,February,Q1,Friday,Lagos,Cosmetics,Wholesale,Bank Transfer,Male,49,7000.0,12,20,67200.0,0.2017,13554.24,2.3,0
2023-04-30,April,Q2,Sunday,Port Harcourt,Home Appliances,Physical Store,Mobile Money,Male,40,197400.0,17,10,3020220.0,0.3003,906972.07,3.4,0
2023-02-21,February,Q1,Tuesday,Enugu,Books & Stationery,Physical Store,Bank Transfer,Female,50,4400.0,16,0,70400.0,0.1218,8574.72,4.4,0
2023-07-14,July,Q3,Friday,Abuja,Cosmetics,Physical Store,POS,Female,31,8500.0,12,0,102000.0,0.3821,38974.2,3.1,0
2023-05-23,May,Q2,Tuesday,Abuja,Home Appliances,Physical Store,Bank Transfer,Male,17,186400.0,8,5,1416640.0,0.251,355576.64,2.5,0
2023-08-21,August,Q3,Monday,Lagos,Books & Stationery,Online,Bank Transfer,Male,39,800.0,3,20,1920.0,0.2328,446.98,3.8,0
2023-11-22,November,Q4,Wednesday,Abuja,Food & Beverage,Physical Store,Mobile Money,Male,25,9100.0,16,5,138320.0,0.2792,38618.94,4.4,0
2023-07-06,July,Q3,Thursday,Ibadan,Home Appliances,Physical Store,Cash,Male,53,217500.0,13,5,2686125.0,0.2924,785422.95,1.7,0
2023-03-25,March,Q1,Saturday,Abuja,Cosmetics,Physical Store,Bank Transfer,Female,37,4500.0,19,0,85500.0,0.1044,8926.2,4.2,1
2023-07-09,July,Q3,Sunday,Port Harcourt,Clothing,Physical Store,Cash,Female,41,20900.0,8,10,150480.0,0.3121,46964.81,4.4,0
2023-07-01,July,Q3,Saturday,Port Harcourt,Home Appliances,Online,POS,Female,58,55800.0,5,15,237150.0,0.1623,38489.44,3.1,0
2023-04-18,April,Q2,Tuesday,Kaduna,Clothing,Online,Bank Transfer,Female,70,43200.0,8,0,345600.0,0.3227,111525.12,4.9,0
2023-12-10,December,Q4,Sunday,Port Harcourt,Books & Stationery,Online,Mobile Money,Female,54,4500.0,12,10,48600.0,0.3597,17481.42,4.3,0
2023-05-17,May,Q2,Wednesday,Kaduna,Food & Beverage,Physical Store,POS,Male,42,1100.0,1,20,880.0,0.3533,310.9,4.2,0
2023-12-26,December,Q4,Tuesday,Port Harcourt,Electronics,Physical Store,POS,Female,44,98500.0,6,0,591000.0,0.2679,158328.9,4.1,0
2023-12-16,December,Q4,Saturday,Ibadan,Food & Beverage,Online,Mobile Money,Female,62,10300.0,18,5,176130.0,0.2569,45247.8,2.0,1
2023-11-28,November,Q4,Tuesday,Benin City,Home Appliances,Wholesale,Bank Transfer,Female,53,132200.0,8,0,1057600.0,0.1286,136007.36,2.3,0
2023-02-06,February,Q1,Monday,Kaduna,Clothing,Physical Store,Bank Transfer,Female,35,36700.0,7,10,231210.0,0.3436,79443.76,3.1,0
2023-11-08,November,Q4,Wednesday,Kano,Clothing,Online,POS,Female,42,31000.0,1,5,29450.0,0.1723,5074.24,2.4,0
2023-11-22,November,Q4,Wednesday,Enugu,Cosmetics,Online,Bank Transfer,Male,56,29700.0,16,10,427680.0,0.2489,106449.55,3.0,0
2023-03-29,March,Q1,Wednesday,Lagos,Clothing,Online,Cash,Male,69,28000.0,12,10,302400.0,0.1767,53434.08,4.6,0
2023-10-01,October,Q4,Sunday,Port Harcourt,Cosmetics,Online,Mobile Money,Male,35,28600.0,6,0,171600.0,0.1255,21535.8,4.4,0
2023-05-06,May,Q2,Saturday,Abuja,Books & Stationery,Online,Cash,Female,59,7200.0,2,20,11520.0,0.294,3386.88,3.7,0
2023-03-25,March,Q1,Saturday,Benin City,Electronics,Online,Bank Transfer,Male,34,220200.0,14,5,2928660.0,0.0985,288473.01,4.5,0
2023-08-25,August,Q3,Friday,Port Harcourt,Home Appliances,Online,POS,Male,35,203600.0,4,0,814400.0,0.3345,272416.8,4.2,0
2023-07-14,July,Q3,Friday,Abuja,Cosmetics,Online,Mobile Money,Female,50,15900.0,1,10,14310.0,0.188,2690.28,3.0,0
2023-05-19,May,Q2,Friday,Enugu,Electronics,Wholesale,Bank Transfer,Female,62,293200.0,18,10,4749840.0,0.08,379987.2,2.2,0
2023-11-24,November,Q4,Friday,Enugu,Clothing,Online,Bank Transfer,Female,17,26000.0,13,0,338000.0,0.2538,85784.4,3.3,0
2023-12-19,December,Q4,Tuesday,Enugu,Clothing,Physical Store,POS,Male,45,40700.0,2,15,69190.0,0.0959,6635.32,4.1,0
2023-10-13,October,Q4,Friday,Abuja,Electronics,Physical Store,POS,Male,68,264100.0,9,20,1901520.0,0.1739,330674.33,3.0,0
2023-04-23,April,Q2,Sunday,Port Harcourt,Clothing,Wholesale,Cash,Female,49,22900.0,2,0,45800.0,0.3204,14674.32,3.8,1
2023-12-17,December,Q4,Sunday,Enugu,Books & Stationery,Online,Mobile Money,Female,37,2700.0,9,20,19440.0,0.1013,1969.27,1.8,0
2023-06-16,June,Q2,Friday,Ibadan,Books & Stationery,Online,Mobile Money,Male,18,2600.0,1,0,2600.0,0.3654,950.04,4.1,0
2023-01-29,January,Q1,Sunday,Kaduna,Electronics,Wholesale,POS,Male,21,228600.0,11,0,2514600.0,0.0813,204436.98,4.3,1
2023-04-28,April,Q2,Friday,Abuja,Cosmetics,Wholesale,Cash,Female,30,23300.0,3,0,69900.0,0.1639,11456.61,4.0,0
2023-01-17,January,Q1,Tuesday,Abuja,Cosmetics,Physical Store,Mobile Money,Female,42,16400.0,4,15,55760.0,0.3319,18506.74,4.9,0
2023-06-11,June,Q2,Sunday,Port Harcourt,Electronics,Online,POS,Male,25,225000.0,18,10,3645000.0,0.1875,683437.5,4.4,0
2023-07-25,July,Q3,Tuesday,Abuja,Cosmetics,Online,Bank Transfer,Female,24,9300.0,6,0,55800.0,0.1146,6394.68,4.7,0
2023-05-18,May,Q2,Thursday,Abuja,Cosmetics,Physical Store,Mobile Money,Male,48,3700.0,3,5,10545.0,0.2025,2135.36,4.8,0
2023-02-03,February,Q1,Friday,Enugu,Books & Stationery,Wholesale,Cash,Male,47,2900.0,11,10,28710.0,0.1719,4935.25,4.3,0
2023-04-19,April,Q2,Wednesday,Port Harcourt,Cosmetics,Physical Store,Cash,Male,63,9200.0,15,0,138000.0,0.3665,50577.0,3.9,0
2023-10-18,October,Q4,Wednesday,Enugu,Food & Beverage,Physical Store,Cash,Male,21,4200.0,5,15,17850.0,0.1865,3329.02,1.5,0
2023-06-11,June,Q2,Sunday,Kaduna,Home Appliances,Online,Bank Transfer,Female,56,154900.0,10,15,1316650.0,0.3482,458457.53,3.1,1
2023-04-19,April,Q2,Wednesday,Benin City,Clothing,Physical Store,Mobile Money,Female,51,8800.0,12,5,100320.0,0.3832,38442.62,3.5,0
2023-12-02,December,Q4,Saturday,Kaduna,Food & Beverage,Online,Mobile Money,Male,17,3200.0,15,20,38400.0,0.2275,8736.0,2.6,1
2023-09-13,September,Q3,Wednesday,Benin City,Cosmetics,Online,Bank Transfer,Male,44,21300.0,17,5,343995.0,0.3894,133951.65,2.6,0
2023-07-22,July,Q3,Saturday,Enugu,Books & Stationery,Physical Store,Mobile Money,Male,19,5900.0,10,20,47200.0,0.2083,9831.76,4.9,0
2023-11-26,November,Q4,Sunday,Kaduna,Electronics,Physical Store,Bank Transfer,Male,16,36500.0,6,10,197100.0,0.4078,80377.38,4.6,0
2023-08-23,August,Q3,Wednesday,Port Harcourt,Cosmetics,Online,Bank Transfer,Male,34,13100.0,18,10,212220.0,0.1104,23429.09,4.5,0
2023-03-15,March,Q1,Wednesday,Lagos,Books & Stationery,Online,Bank Transfer,Female,41,4700.0,13,0,61100.0,0.3136,19160.96,2.9,0
2023-05-16,May,Q2,Tuesday,Enugu,Home Appliances,Physical Store,Cash,Female,40,121100.0,3,15,308805.0,0.2479,76552.76,1.5,0
2023-03-13,March,Q1,Monday,Benin City,Cosmetics,Online,Mobile Money,Female,25,7400.0,10,5,70300.0,0.2118,14889.54,1.8,0
2023-05-07,May,Q2,Sunday,Ibadan,Electronics,Physical Store,Bank Transfer,Female,68,155700.0,14,0,2179800.0,0.2951,643258.98,2.6,0
2023-10-15,October,Q4,Sunday,Benin City,Books & Stationery,Online,Mobile Money,Male,30,7300.0,6,0,43800.0,0.3193,13985.34,1.6,0
2023-10-03,October,Q4,Tuesday,Ibadan,Books & Stationery,Physical Store,Cash,Male,37,5000.0,3,5,14250.0,0.0815,1161.38,1.6,0
2023-05-15,May,Q2,Monday,Abuja,Books & Stationery,Physical Store,Bank Transfer,Male,66,5800.0,16,5,88160.0,0.1368,12060.29,4.7,0
2023-10-27,October,Q4,Friday,Kaduna,Home Appliances,Online,POS,Male,63,241000.0,7,10,1518300.0,0.3224,489499.92,4.0,0
2023-08-08,August,Q3,Tuesday,Ibadan,Cosmetics,Online,Cash,Male,36,23300.0,14,15,277270.0,0.3066,85010.98,2.6,0
2023-10-26,October,Q4,Thursday,Benin City,Home Appliances,Online,POS,Female,71,111500.0,9,0,1003500.0,0.4085,409929.75,2.0,0
2023-07-24,July,Q3,Monday,Abuja,Clothing,Online,Mobile Money,Male,37,3200.0,15,10,43200.0,0.3388,14636.16,3.3,0
2023-07-05,July,Q3,Wednesday,Lagos,Clothing,Wholesale,Mobile Money,Female,51,17800.0,3,0,53400.0,0.4033,21536.22,1.5,1
2023-04-23,April,Q2,Sunday,Port Harcourt,Cosmetics,Online,Cash,Female,49,23000.0,2,15,39100.0,0.3189,12468.99,4.8,0
2023-03-12,March,Q1,Sunday,Port Harcourt,Home Appliances,Physical Store,Mobile Money,Female,45,240100.0,2,15,408170.0,0.1813,74001.22,3.0,0
2023-09-18,September,Q3,Monday,Port Harcourt,Electronics,Online,POS,Female,40,334400.0,3,5,953040.0,0.1158,110362.03,2.9,0
2023-09-10,September,Q3,Sunday,Ibadan,Books & Stationery,Physical Store,Bank Transfer,Male,60,3800.0,18,10,61560.0,0.3458,21287.45,2.9,0
2023-02-16,February,Q1,Thursday,Lagos,Books & Stationery,Physical Store,Bank Transfer,Female,43,6200.0,14,0,86800.0,0.299,25953.2,1.7,0
2023-01-25,January,Q1,Wednesday,Ibadan,Cosmetics,Physical Store,Bank Transfer,Female,16,17100.0,18,5,292410.0,0.0964,28188.32,3.7,0
2023-02-26,February,Q1,Sunday,Kaduna,Clothing,Physical Store,Cash,Female,64,28300.0,10,15,240550.0,0.2024,48687.32,4.1,1
2023-03-20,March,Q1,Monday,Ibadan,Clothing,Physical Store,Mobile Money,Male,60,12300.0,2,5,23370.0,0.4053,9471.86,3.9,0
2023-11-18,November,Q4,Saturday,Lagos,Books & Stationery,Online,POS,Male,19,2400.0,1,0,2400.0,0.2501,600.24,2.0,0
2023-03-23,March,Q1,Thursday,Lagos,Cosmetics,Wholesale,Mobile Money,Male,22,13900.0,4,5,52820.0,0.2271,11995.42,3.5,1
2023-12-15,December,Q4,Friday,Kaduna,Home Appliances,Physical Store,Mobile Money,Female,64,15900.0,14,15,189210.0,0.2356,44577.88,3.5,0
2023-08-05,August,Q3,Saturday,Lagos,Clothing,Wholesale,Mobile Money,Female,24,17100.0,1,0,17100.0,0.151,2582.1,4.5,0
2023-11-02,November,Q4,Thursday,Benin City,Home Appliances,Online,Bank Transfer,Male,51,192700.0,14,0,2697800.0,0.2054,554128.12,2.8,0
2023-02-02,February,Q1,Thursday,Lagos,Clothing,Physical Store,POS,Female,34,20000.0,16,10,288000.0,0.2057,59241.6,2.8,0
2023-07-17,July,Q3,Monday,Port Harcourt,Clothing,Wholesale,POS,Male,16,9900.0,14,15,117810.0,0.0978,11521.82,3.7,0
2023-07-15,July,Q3,Saturday,Benin City,Food & Beverage,Online,Mobile Money,Male,25,5900.0,3,0,17700.0,0.341,6035.7,3.7,0
2023-11-02,November,Q4,Thursday,Benin City,Clothing,Online,Bank Transfer,Female,51,8400.0,3,0,25200.0,0.2216,5584.32,3.1,0
2023-08-28,August,Q3,Monday,Kaduna,Electronics,Physical Store,Bank Transfer,Female,24,223500.0,9,0,2011500.0,0.3595,723134.25,3.1,0
2023-09-28,September,Q3,Thursday,Kano,Cosmetics,Physical Store,POS,Female,60,2300.0,6,0,13800.0,0.3691,5093.58,3.2,0
2023-05-09,May,Q2,Tuesday,Kano,Cosmetics,Physical Store,Bank Transfer,Female,61,12700.0,13,5,156845.0,0.1521,23856.12,4.5,0
2023-10-11,October,Q4,Wednesday,Lagos,Home Appliances,Online,Bank Transfer,Male,57,161500.0,2,10,290700.0,0.3035,88227.45,3.1,0
2023-01-06,January,Q1,Friday,Benin City,Clothing,Physical Store,Bank Transfer,Male,47,4100.0,8,10,29520.0,0.2406,7102.51,4.8,0
2023-12-15,December,Q4,Friday,Kano,Electronics,Online,Cash,Male,47,230300.0,2,10,414540.0,0.3793,157235.02,3.3,0
2023-02-28,February,Q1,Tuesday,Kano,Home Appliances,Online,Mobile Money,Male,21,44900.0,4,0,179600.0,0.1534,27550.64,4.8,0
2023-12-16,December,Q4,Saturday,Lagos,Food & Beverage,Online,POS,Male,63,5800.0,15,15,73950.0,0.3105,22961.48,4.4,0
2023-10-02,October,Q4,Monday,Kano,Home Appliances,Physical Store,POS,Female,53,21700.0,4,5,82460.0,0.2866,23633.04,2.8,1
2023-05-17,May,Q2,Wednesday,Ibadan,Home Appliances,Physical Store,Cash,Male,32,111100.0,13,20,1155440.0,0.1804,208441.38,4.5,0
2023-11-25,November,Q4,Saturday,Abuja,Clothing,Physical Store,Mobile Money,Male,25,11900.0,12,10,128520.0,0.1264,16244.93,1.9,0
2023-06-24,June,Q2,Saturday,Kaduna,Food & Beverage,Online,POS,Male,65,4300.0,13,0,55900.0,0.3016,16859.44,4.7,0
2023-02-27,February,Q1,Monday,Abuja,Home Appliances,Wholesale,Bank Transfer,Female,42,215100.0,14,10,2710260.0,0.3311,897367.09,3.7,0
2023-05-31,May,Q2,Wednesday,Lagos,Electronics,Online,POS,Female,69,142000.0,18,0,2556000.0,0.1873,478738.8,1.7,0
2023-08-11,August,Q3,Friday,Port Harcourt,Electronics,Physical Store,Bank Transfer,Female,65,266900.0,6,10,1441260.0,0.2992,431224.99,3.8,1
2023-03-22,March,Q1,Wednesday,Kaduna,Cosmetics,Physical Store,Cash,Female,50,25200.0,11,0,277200.0,0.2143,59403.96,4.9,0
2023-08-21,August,Q3,Monday,Lagos,Food & Beverage,Online,Bank Transfer,Male,67,3400.0,2,0,6800.0,0.3225,2193.0,1.7,0
2023-01-02,January,Q1,Monday,Benin City,Food & Beverage,Physical Store,POS,Male,36,1400.0,19,15,22610.0,0.1477,3339.5,3.4,0
2023-05-15,May,Q2,Monday,Port Harcourt,Cosmetics,Online,POS,Female,40,2100.0,19,0,39900.0,0.3827,15269.73,4.1,0
2023-09-14,September,Q3,Thursday,Abuja,Home Appliances,Physical Store,POS,Female,43,154700.0,5,15,657475.0,0.1777,116833.31,4.3,0
2023-04-02,April,Q2,Sunday,Lagos,Food & Beverage,Physical Store,Cash,Male,62,12000.0,19,0,228000.0,0.205,46740.0,2.9,1
2023-09-17,September,Q3,Sunday,Benin City,Electronics,Online,Cash,Male,30,132200.0,2,10,237960.0,0.0998,23748.41,2.2,0
2023-02-24,February,Q1,Friday,Kaduna,Electronics,Wholesale,Mobile Money,Female,19,232800.0,10,10,2095200.0,0.1179,247024.08,1.6,0
2023-11-17,November,Q4,Friday,Kaduna,Clothing,Online,POS,Female,44,35800.0,2,5,68020.0,0.2554,17372.31,3.5,0
2023-06-02,June,Q2,Friday,Enugu,Food & Beverage,Physical Store,Bank Transfer,Female,24,8000.0,11,0,88000.0,0.171,15048.0,3.1,0
2023-11-24,November,Q4,Friday,Benin City,Home Appliances,Wholesale,Cash,Female,42,213200.0,18,0,3837600.0,0.3641,1397270.16,4.8,0
2023-09-17,September,Q3,Sunday,Ibadan,Cosmetics,Physical Store,POS,Male,41,28600.0,15,0,429000.0,0.085,36465.0,1.7,0
2023-11-08,November,Q4,Wednesday,Kano,Cosmetics,Online,POS,Male,34,7200.0,9,0,64800.0,0.2089,13536.72,3.9,0
2023-04-12,April,Q2,Wednesday,Port Harcourt,Home Appliances,Wholesale,Cash,Male,71,13500.0,19,10,230850.0,0.1947,44946.5,1.6,0
2023-03-20,March,Q1,Monday,Benin City,Books & Stationery,Physical Store,Mobile Money,Female,43,1900.0,9,20,13680.0,0.0866,1184.69,2.1,0
2023-07-11,July,Q3,Tuesday,Enugu,Clothing,Online,Cash,Female,32,8300.0,3,15,21165.0,0.1223,2588.48,3.1,0
2023-03-24,March,Q1,Friday,Kano,Cosmetics,Online,Cash,Male,58,20600.0,9,10,166860.0,0.2206,36809.32,3.1,0
2023-10-04,October,Q4,Wednesday,Kano,Food & Beverage,Physical Store,Bank Transfer,Male,56,7000.0,14,10,88200.0,0.2476,21838.32,3.9,0
2023-09-29,September,Q3,Friday,Lagos,Clothing,Physical Store,Bank Transfer,Male,57,12200.0,19,10,208620.0,0.2175,45374.85,4.7,0
2023-01-01,January,Q1,Sunday,Kano,Food & Beverage,Physical Store,Mobile Money,Male,65,8500.0,7,0,59500.0,0.2605,15499.75,3.7,0
2023-11-03,November,Q4,Friday,Ibadan,Electronics,Wholesale,POS,Female,35,271900.0,16,20,3480320.0,0.2823,982494.34,4.8,0
2023-06-15,June,Q2,Thursday,Kaduna,Clothing,Physical Store,Cash,Male,60,10000.0,16,10,144000.0,0.0834,12009.6,4.6,0
