OrderID,OrderDate,Region,Store,ProductCategory,UnitPrice,Quantity,DiscountPercent,GrossSales,NetSales,Cost,Profit,PaymentMethod,CustomerSegment,CustomerAge,CustomerGender,SatisfactionScore,DeliveryDays
ORD103329,2024-10-31,North,Store_05,Electronics,627.86,3,0.0,1883.58,1883.58,1260.57,623.01,Mobile Wallet,New,32.0,Female,5.0,4.0
ORD103659,2023-12-27,West,,Groceries,35.72,2,0.0,114.3,114.3,73.2,41.1,Cash,Returning,40.0,Male,3.7,4.0
ORD101178,2023-07-09,North,Store_14,Clothing,188.74,2,0.0,452.98,452.98,323.85,129.13,Mobile Wallet,Returning,18.0,Male,5.0,3.0
ORD103228,2024-06-22,Central,Store_14,Home & Living,283.45,1,0.0,340.14,340.14,227.42,112.72,Credit Card,New,29.0,Other,4.8,7.0
ORD100934,2023-11-20,Central,Store_09,Electronics,690.39,1,0.0,1104.62,1104.62,620.47,484.15,Cash,VIP,36.0,Male,3.7,1.0
ORD103885,2023-10-30,North,Store_19,Home & Living,116.83,1,0.0,116.83,116.83,85.35,31.48,Mobile Wallet,New,31.0,Other,,3.0
ORD102419,2023-11-02,West,Store_12,Clothing,25.42,2,0.0,81.34,81.34,55.6,25.74,Mobile Wallet,Returning,49.0,Other,3.4,6.0
ORD104099,2023-09-03,South,Store_07,Beauty,103.45,1,5.0,103.45,98.28,50.47,47.81,Mobile Wallet,VIP,28.0,Male,3.6,4.0
ORD104603,2024-07-06,North,Store_12,Electronics,810.86,1,0.0,973.03,973.03,646.89,326.14,Cash,VIP,26.0,Female,2.0,4.0
ORD102706,2024-05-30,South,Store_09,Groceries,31.01,1,15.0,31.01,26.36,14.51,11.85,Credit Card,New,28.0,Male,4.4,2.0
ORD105283,2024-07-08,East,Store_18,Home & Living,279.11,1,15.0,334.93,284.69,203.91,80.78,Bank Transfer,Returning,33.0,Female,,4.0
ORD102535,2024-12-15,West,Store_17,Beauty,87.08,3,0.0,417.98,417.98,280.75,137.23,Mobile Wallet,New,50.0,Male,4.8,6.0
ORD103002,2024-11-09,East,Store_06,Clothing,33.67,5,10.0,269.36,242.42,122.4,120.02,Credit Card,Returning,44.0,Other,5.0,4.0
ORD101453,2023-06-29,East,Store_01,Electronics,784.11,1,5.0,940.93,893.88,580.08,313.8,Bank Transfer,VIP,52.0,Male,2.7,1.0
ORD104310,2024-01-15,Central,Store_07,Electronics,884.79,2,5.0,1769.58,1681.1,825.23,855.87,Cash,New,16.0,Female,5.0,4.0
ORD100889,2023-07-17,North,Store_11,Beauty,129.66,1,0.0,155.59,155.59,96.93,58.66,Debit Card,VIP,55.0,Female,3.6,3.0
ORD105039,2023-06-07,North,Store_15,Clothing,92.35,1,0.0,110.82,110.82,77.25,33.57,Cash,Returning,33.0,Female,4.0,3.0
ORD105310,2024-10-27,West,Store_03,Beauty,64.9,1,15.0,64.9,55.16,39.65,15.51,Bank Transfer,Returning,33.0,Female,2.8,5.0
ORD105902,2023-03-10,North,Store_02,Groceries,3.02,1,25.0,3.02,2.26,1.12,1.14,Cash,New,44.0,Female,3.4,2.0
ORD103981,2023-03-06,South,Store_05,Groceries,41.7,5,0.0,208.5,208.5,121.09,87.41,Mobile Wallet,Returning,44.0,Male,5.0,4.0
ORD105744,2023-01-13,Central,Store_13,Clothing,89.29,1,0.0,89.29,89.29,61.43,27.86,Debit Card,VIP,,Female,4.3,
ORD103314,2023-10-22,South,Store_17,Clothing,173.51,2,0.0,347.02,347.02,159.29,187.73,Credit Card,New,51.0,Female,5.0,
ORD103916,2023-02-18,South,Store_08,Groceries,58.27,1,10.0,58.27,52.44,28.59,23.85,Mobile Wallet,New,25.0,Male,5.0,3.0
ORD101146,2024-01-23,South,Store_01,Groceries,19.4,2,10.0,38.8,34.92,17.44,17.48,Mobile Wallet,Returning,37.0,Male,3.4,2.0
ORD104506,2023-07-31,South,Store_09,Beauty,124.39,1,5.0,149.27,141.81,95.2,46.61,Credit Card,New,16.0,Male,,2.0
ORD102492,2024-11-09,West,Store_02,Home & Living,33.02,1,15.0,52.83,44.91,20.36,24.55,Credit Card,New,33.0,Female,3.1,5.0
ORD105207,2024-07-04,South,Store_07,Clothing,167.11,1,10.0,200.53,180.48,111.51,68.97,Mobile Wallet,Returning,21.0,Female,3.7,4.0
ORD105562,2024-07-28,East,Store_04,Clothing,62.51,1,0.0,75.01,75.01,44.87,30.14,Cash,Returning,27.0,Male,3.8,5.0
ORD104412,2023-09-01,South,Store_03,Groceries,11.45,1,15.0,11.45,9.73,4.82,4.91,Credit Card,Returning,40.0,Female,3.9,2.0
ORD103415,2023-10-29,East,Store_13,Beauty,12.8,3,10.0,38.4,34.56,23.05,11.51,Debit Card,Returning,31.0,Female,3.1,4.0
ORD103967,2023-06-26,West,Store_10,Sports,155.91,1,0.0,187.09,187.09,130.4,56.69,Mobile Wallet,New,47.0,Female,4.3,2.0
ORD103066,2024-08-28,East,Store_02,Clothing,44.76,1,0.0,44.76,44.76,31.42,13.34,Credit Card,Returning,38.0,Male,2.6,5.0
ORD103581,2024-07-12,Central,Store_18,Beauty,21.87,1,0.0,26.24,26.24,14.37,11.87,Debit Card,Returning,48.0,Female,4.8,4.0
ORD101175,2023-09-05,South,Store_19,Electronics,790.9,1,0.0,790.9,790.9,428.1,362.8,Debit Card,VIP,31.0,Female,4.6,2.0
ORD101252,2023-02-24,Central,Store_14,Clothing,116.79,1,0.0,116.79,116.79,65.05,51.74,Cash,New,54.0,Female,4.3,4.0
ORD100658,2023-02-22,East,Store_14,Sports,170.97,1,25.0,170.97,128.23,66.1,62.13,Credit Card,Returning,31.0,Other,2.1,2.0
ORD105116,2023-07-06,West,Store_11,Sports,170.38,2,0.0,408.91,408.91,196.62,212.29,Cash,Returning,26.0,Female,3.3,4.0
ORD104667,2023-04-12,North,Store_10,Sports,234.88,3,0.0,704.64,704.64,322.18,382.46,Credit Card,Returning,37.0,Other,,1.0
ORD101984,2024-04-10,West,Store_06,Clothing,134.74,1,0.0,134.74,134.74,67.78,66.96,Bank Transfer,Returning,38.0,Male,3.3,1.0
ORD100452,2023-12-31,West,Store_10,Clothing,78.56,1,10.0,125.7,113.13,65.04,48.09,Cash,New,44.0,Female,4.4,
ORD104323,2023-07-13,Central,Store_09,Beauty,26.71,1,0.0,32.05,32.05,23.82,8.23,Mobile Wallet,New,40.0,Female,3.4,0.0
ORD100059,2024-05-13,East,Store_14,Home & Living,428.31,2,5.0,856.62,813.79,561.95,251.84,Bank Transfer,Returning,53.0,Female,3.4,3.0
ORD102172,2024-12-28,South,Store_19,Clothing,132.43,2,0.0,423.78,423.78,205.68,218.1,Cash,New,27.0,Female,4.6,3.0
ORD102928,2023-05-16,Central,Store_10,Sports,184.87,1,0.0,184.87,184.87,126.49,58.38,Bank Transfer,VIP,54.0,Female,3.9,4.0
ORD104235,2023-01-29,North,Store_12,Groceries,2.65,4,0.0,10.6,10.6,6.13,4.47,Mobile Wallet,Returning,28.0,Female,3.6,3.0
ORD105093,2024-12-09,South,Store_15,Beauty,93.35,1,10.0,149.36,134.42,64.37,70.05,Mobile Wallet,VIP,,Female,3.9,4.0
ORD102945,2023-03-20,West,Store_05,Groceries,28.55,1,0.0,28.55,28.55,17.82,10.73,Credit Card,New,49.0,Female,,9.0
ORD104000,2023-08-20,North,Store_10,Clothing,183.88,1,0.0,183.88,183.88,126.57,57.31,Mobile Wallet,VIP,40.0,Male,4.2,3.0
ORD105409,2024-06-01,Central,Store_11,Electronics,277.44,2,0.0,665.86,665.86,339.44,326.42,Credit Card,VIP,36.0,Male,3.9,9.0
ORD104749,2023-09-24,East,Store_20,Home & Living,382.5,1,0.0,382.5,382.5,194.56,187.94,Debit Card,New,22.0,Male,1.5,4.0
ORD103062,2023-10-07,central,Store_20,Home & Living,285.8,1,0.0,285.8,285.8,149.64,136.16,Cash,VIP,52.0,Other,4.2,5.0
ORD104006,2023-07-03,North,Store_18,Clothing,21.8,4,0.0,104.64,104.64,54.37,50.27,Bank Transfer,Returning,35.0,Male,3.3,8.0
ORD103613,2023-02-24,Central,Store_01,Home & Living,216.39,2,0.0,432.78,432.78,281.96,150.82,Cash,New,,Female,3.0,2.0
ORD103911,2024-12-09,South,Store_02,Clothing,163.67,1,0.0,261.87,261.87,148.85,113.02,Bank Transfer,New,30.0,Other,2.8,3.0
ORD105457,2023-10-15,West,Store_05,Clothing,144.35,1,0.0,144.35,144.35,101.52,42.83,Credit Card,New,20.0,Male,4.1,4.0
ORD103745,2024-12-20,South,Store_11,Groceries,36.33,2,5.0,116.26,110.45,57.64,52.81,Mobile Wallet,Returning,48.0,Male,4.2,5.0
ORD101015,2024-09-03,North,Store_03,Groceries,56.59,1,0.0,56.59,56.59,28.36,28.23,Credit Card,New,34.0,Female,2.7,6.0
ORD104567,2024-05-28,East,Store_07,Groceries,25.68,1,0.0,25.68,25.68,14.89,10.79,Debit Card,New,49.0,Male,5.0,3.0
ORD100756,2024-06-22,North,Store_03,Home & Living,415.7,2,0.0,997.68,997.68,641.09,356.59,Cash,Returning,16.0,Male,4.4,4.0
ORD104440,2023-08-27,Central,Store_18,Groceries,27.75,1,0.0,27.75,27.75,19.97,7.78,Bank Transfer,VIP,61.0,Other,,
ORD100183,2024-05-23,North,Store_10,Groceries,57.84,3,0.0,173.52,173.52,101.44,72.08,Credit Card,Returning,37.0,Male,4.5,3.0
ORD104956,2023-04-28,North,Store_11,Electronics,476.38,1,10.0,476.38,428.74,271.1,157.64,Debit Card,Returning,23.0,Other,2.8,5.0
ORD103019,2024-06-27,West,Store_07,Clothing,110.3,1,0.0,132.36,132.36,64.45,67.91,Bank Transfer,New,22.0,Female,3.6,6.0
ORD103251,2024-06-29,Central,Store_18,Beauty,80.23,1,10.0,96.28,86.65,62.84,23.81,Credit Card,New,41.0,Female,2.9,
ORD103620,2024-12-28,Central,Store_16,Groceries,48.35,2,5.0,154.72,146.98,99.92,47.06,Mobile Wallet,New,16.0,Male,5.0,2.0
ORD101755,2023-08-21,South,Store_10,Sports,147.42,2,0.0,294.84,294.84,153.65,141.19,Cash,New,22.0,Male,4.0,3.0
ORD101104,2023-08-12,North,Store_08,Groceries,8.48,3,0.0,25.44,25.44,12.22,13.22,Mobile Wallet,New,35.0,Male,5.0,5.0
ORD105950,2023-10-20,North,Store_08,Clothing,95.59,1,20.0,95.59,76.47,40.84,35.63,Mobile Wallet,Returning,49.0,Female,4.8,5.0
ORD100244,2024-04-03,North,Store_11,Groceries,5.31,2,0.0,10.62,10.62,6.86,3.76,Cash,Returning,45.0,Female,4.8,5.0
ORD100683,2024-11-30,North,Store_18,Groceries,30.28,1,0.0,48.45,48.45,34.57,13.88,Cash,Returning,29.0,Male,4.2,5.0
ORD101535,2023-01-23,North,Store_02,Sports,174.82,1,0.0,174.82,174.82,84.59,90.23,Mobile Wallet,New,30.0,Male,4.4,4.0
ORD101182,2024-05-19,Central,Store_12,Sports,117.81,1,0.0,117.81,117.81,55.04,62.77,Credit Card,Returning,27.0,Female,4.9,3.0
ORD101831,2024-11-26,North,Store_07,Groceries,14.07,1,10.0,22.51,20.26,14.5,5.76,Cash,Returning,46.0,Female,5.0,3.0
ORD100915,2023-12-01,East,Store_08,Groceries,9.13,1,0.0,14.61,14.61,7.48,7.13,Bank Transfer,Returning,38.0,Female,4.1,0.0
ORD104425,2024-09-28,South,Store_03,Electronics,878.36,1,0.0,878.36,878.36,579.3,299.06,Cash,New,26.0,Other,4.2,7.0
ORD100962,2024-09-05,East,Store_13,Clothing,196.55,2,25.0,393.1,294.82,149.15,145.67,Debit Card,New,39.0,Female,4.3,1.0
ORD100698,2023-02-06,North,Store_09,Groceries,45.8,2,0.0,91.6,91.6,48.74,42.86,Mobile Wallet,New,33.0,Female,3.2,4.0
ORD101391,2024-01-22,South,Store_03,Electronics,601.33,1,20.0,601.33,481.06,307.51,173.55,Debit Card,Returning,45.0,Other,3.2,0.0
ORD101769,2023-05-24,North,Store_20,Electronics,1025.16,1,0.0,1025.16,1025.16,684.5,340.66,Cash,Returning,38.0,Female,4.4,4.0
ORD101610,2024-07-20,Central,Store_20,Groceries,2.18,1,0.0,2.62,2.62,1.85,0.77,Mobile Wallet,Returning,46.0,Female,4.0,3.0
ORD104458,2023-03-27,Central,Store_07,Clothing,194.88,4,0.0,779.52,779.52,457.32,322.2,Cash,New,54.0,Female,3.3,
ORD104586,2023-06-06,North,Store_15,Groceries,10.57,1,10.0,12.68,11.41,6.87,4.54,Debit Card,Returning,35.0,Male,2.9,3.0
ORD100135,2023-08-10,West,Store_04,Groceries,17.83,1,0.0,17.83,17.83,9.47,8.36,Credit Card,New,40.0,Male,3.4,6.0
ORD100773,2024-06-07,Central,Store_17,Electronics,1062.0,2,0.0,2548.8,2548.8,1263.85,1284.95,Cash,Returning,34.0,Female,,1.0
ORD104077,2024-03-15,South,Store_04,Clothing,176.28,1,15.0,176.28,149.84,105.55,44.29,Bank Transfer,VIP,32.0,Male,3.2,6.0
ORD101464,2024-09-13,South,Store_04,Clothing,108.78,3,0.0,326.34,326.34,176.16,150.18,Cash,VIP,50.0,Female,4.4,6.0
ORD102845,2023-11-30,East,Store_20,Groceries,41.53,1,10.0,66.45,59.8,37.7,22.1,Mobile Wallet,Returning,46.0,Female,3.7,2.0
ORD102054,2024-06-05,East,Store_16,Clothing,144.86,1,5.0,173.83,165.14,98.39,66.75,Debit Card,New,32.0,Female,3.9,5.0
ORD101801,2023-12-08,South,Store_05,Groceries,41.69,1,20.0,66.7,53.36,24.38,28.98,Bank Transfer,Returning,16.0,Male,5.0,4.0
ORD100359,2024-06-30,Central,Store_14,Groceries,33.14,1,0.0,39.77,39.77,21.05,18.72,Cash,Returning,36.0,Male,,3.0
ORD102175,2024-07-10,South,Store_12,Groceries,59.52,2,15.0,142.85,121.42,85.78,35.64,Debit Card,Returning,28.0,Male,3.0,2.0
ORD100596,2024-02-27,East,Store_04,Clothing,107.19,1,0.0,107.19,107.19,59.76,47.43,Mobile Wallet,Returning,36.0,Female,3.4,3.0
ORD103940,2024-02-02,West,Store_18,Electronics,354.22,1,5.0,354.22,336.51,191.44,145.07,Mobile Wallet,Returning,37.0,Male,2.9,5.0
ORD103931,2023-02-24,East,Store_07,Groceries,36.76,1,0.0,36.76,36.76,24.15,12.61,Debit Card,New,39.0,Male,2.2,3.0
ORD104382,2023-09-15,West,Store_02,Home & Living,394.84,1,0.0,394.84,394.84,211.41,183.43,Bank Transfer,Returning,31.0,Female,4.6,1.0
ORD105216,2024-07-28,North,Store_11,Clothing,102.87,1,0.0,123.44,123.44,86.12,37.32,Debit Card,Returning,56.0,Male,3.5,2.0
ORD100246,2024-07-06,South,Store_17,Home & Living,201.99,1,0.0,242.39,3380.4139921689607,181.46,623.523477802667,Credit Card,Returning,50.0,Female,3.3,3.0
ORD100712,2024-06-15,Central,Store_10,Clothing,84.69,1,0.0,101.63,101.63,48.15,53.48,Credit Card,New,39.0,Male,4.3,4.0
ORD103399,2024-06-10,Central,Store_20,Clothing,177.34,1,0.0,212.81,212.81,151.25,61.56,Bank Transfer,Returning,31.0,Male,4.7,2.0
ORD101031,2023-05-07,West,Store_04,Beauty,21.66,1,20.0,21.66,17.33,11.84,5.49,Cash,Returning,26.0,Male,2.0,5.0
ORD105669,2024-05-14,West,Store_03,Clothing,102.08,1,10.0,102.08,91.87,64.63,27.24,Credit Card,New,38.0,Male,4.7,5.0
ORD102632,2024-10-28,South,Store_01,Clothing,139.56,1,0.0,139.56,139.56,92.25,47.31,Mobile Wallet,Returning,43.0,Female,2.1,3.0
ORD101127,2024-04-10,West,Store_01,Groceries,8.88,2,0.0,17.76,17.76,12.38,5.38,Mobile Wallet,Returning,37.0,Female,3.9,1.0
ORD101442,2024-11-13,South,Store_18,Home & Living,130.78,2,5.0,418.5,397.57,274.25,123.32,Bank Transfer,Returning,70.0,Female,5.0,3.0
ORD102179,2023-11-30,North,Store_05,Sports,32.65,2,0.0,104.48,104.48,72.61,31.87,Debit Card,VIP,56.0,Male,3.1,2.0
ORD105246,2024-03-02,Central,Store_02,Clothing,58.49,1,15.0,58.49,49.72,25.91,23.81,Debit Card,Returning,49.0,Male,5.0,1.0
ORD105576,2024-02-27,South,,Electronics,833.08,1,0.0,833.08,833.08,538.63,294.45,Debit Card,VIP,29.0,Female,,4.0
ORD104356,2024-12-05,East,Store_09,Home & Living,219.53,5,,1756.24,14448.077791777772,946.89,6258.437562468112,Bank Transfer,New,41.0,Female,4.0,3.0
ORD101514,2023-06-30,South,Store_05,Electronics,777.53,2,0.0,1866.07,1866.07,975.65,890.42,Cash,VIP,23.0,Female,3.6,7.0
ORD105106,2024-07-07,West,Store_09,Groceries,15.07,1,0.0,18.08,18.08,13.36,4.72,Cash,Returning,27.0,Female,4.2,5.0
ORD103031,2023-07-18,East,Store_06,Home & Living,315.62,1,5.0,378.74,359.8,242.61,117.19,Credit Card,VIP,36.0,Other,3.1,1.0
ORD102839,2024-12-10,South,Store_07,Clothing,16.33,2,0.0,52.26,52.26,25.6,26.66,Cash,VIP,32.0,Female,2.9,2.0
ORD104404,2023-07-10,East,Store_14,Electronics,393.77,1,15.0,472.52,401.64,260.88,140.76,Debit Card,Returning,51.0,Male,4.0,
ORD101629,2023-04-03,West,Store_01,Groceries,29.95,1,0.0,29.95,29.95,21.36,8.59,Mobile Wallet,Returning,23.0,Female,5.0,2.0
ORD100968,2024-11-02,West,Store_11,Groceries,47.19,2,0.0,151.01,151.01,105.68,45.33,Cash,New,23.0,Male,4.3,5.0
ORD103652,2023-10-27,South,Store_20,Electronics,146.68,2,0.0,293.36,293.36,197.69,95.67,Bank Transfer,New,40.0,Female,3.8,6.0
ORD101648,2024-12-13,Central,Store_05,Electronics,1100.74,2,0.0,3522.37,3522.37,2542.13,980.24,Debit Card,Returning,30.0,Female,5.0,4.0
ORD101350,2023-02-14,East,Store_14,Electronics,994.23,2,5.0,1988.46,1889.04,1096.93,792.11,Debit Card,New,48.0,Male,3.9,2.0
ORD102985,2024-04-18,North,Store_02,Clothing,185.71,1,5.0,185.71,176.42,123.61,52.81,Cash,New,38.0,Female,2.4,2.0
ORD100056,2024-02-03,North,Store_12,Clothing,62.85,1,5.0,62.85,59.71,29.93,29.78,Debit Card,VIP,30.0,Female,2.4,
ORD102311,2023-02-19,Central,Store_01,Groceries,26.0,1,0.0,26.0,26.0,14.91,11.09,Debit Card,Returning,48.0,Other,4.8,6.0
ORD101670,2024-07-11,South,Store_06,Groceries,55.76,2,5.0,133.82,127.13,65.95,61.18,Credit Card,Returning,53.0,Female,3.1,2.0
ORD103196,2023-06-14,South,Store_17,Home & Living,147.4,1,0.0,176.88,176.88,87.34,89.54,Bank Transfer,Returning,36.0,Female,5.0,6.0
ORD105719,2023-12-01,South,Store_03,Electronics,1057.28,1,0.0,1691.65,1691.65,945.48,746.17,Debit Card,Returning,49.0,Male,4.1,1.0
ORD103369,2023-03-28,South,Store_06,Electronics,291.38,1,0.0,291.38,291.38,133.55,157.83,Credit Card,Returning,43.0,Female,3.7,2.0
ORD100875,2024-01-04,Central,Store_09,Sports,258.7,1,0.0,258.7,258.7,137.82,120.88,Cash,Returning,30.0,Female,4.1,3.0
ORD100305,2023-04-13,East,Store_19,Electronics,1076.23,2,0.0,2152.46,2152.46,1149.05,1003.41,Debit Card,Returning,54.0,Other,1.9,3.0
ORD100521,2023-04-17,West,Store_16,Groceries,16.2,1,0.0,16.2,16.2,9.55,6.65,Debit Card,Returning,16.0,Male,3.5,1.0
ORD100334,2023-12-02,South,Store_11,Groceries,57.79,4,0.0,369.86,369.86,202.59,167.27,Debit Card,Returning,35.0,Male,3.9,1.0
ORD105413,2024-10-13,South,Store_11,Groceries,41.82,1,10.0,41.82,37.64,21.42,16.22,Cash,New,37.0,Male,5.0,3.0
ORD104936,2024-12-02,East,Store_16,Electronics,463.83,1,10.0,742.13,667.92,339.1,328.82,Mobile Wallet,Returning,63.0,Female,5.0,4.0
ORD104265,2024-12-24,North,Store_08,Clothing,21.61,1,0.0,34.58,34.58,25.28,9.3,Debit Card,New,26.0,Female,4.1,4.0
ORD101457,2023-11-29,East,Store_09,Electronics,1086.08,1,5.0,1737.73,1650.84,965.77,685.07,Bank Transfer,New,37.0,Male,3.6,6.0
ORD104481,2023-08-05,Central,Store_16,Beauty,14.14,1,,14.14,12.73,6.7,6.03,Bank Transfer,New,,Female,3.6,5.0
ORD100000,2023-03-07,North,Store_16,Beauty,91.14,1,5.0,91.14,86.58,41.16,45.42,Mobile Wallet,New,32.0,Female,3.3,7.0
ORD105765,2024-02-06,South,Store_10,Electronics,334.71,1,5.0,334.71,317.97,222.5,95.47,Credit Card,New,41.0,Female,5.0,4.0
ORD104788,2023-08-12,West,Store_08,Home & Living,377.49,1,0.0,377.49,377.49,281.1,96.39,Mobile Wallet,New,53.0,Female,4.1,3.0
ORD104835,2024-01-21,South,Store_16,Groceries,31.87,1,0.0,31.87,31.87,18.77,13.1,Cash,New,54.0,Male,4.7,3.0
ORD101354,2023-06-10,South,Store_10,Home & Living,295.67,2,20.0,709.61,567.69,359.37,208.32,Bank Transfer,VIP,16.0,Female,2.9,9.0
ORD103177,2023-08-05,West,Store_03,Groceries,41.08,1,10.0,41.08,36.97,20.37,16.6,Mobile Wallet,Returning,47.0,Male,3.5,3.0
ORD101549,2023-01-04,Central,Store_08,Groceries,14.87,1,0.0,14.87,14.87,8.95,5.92,Debit Card,New,33.0,Female,4.4,5.0
ORD100500,2023-03-25,East,Store_05,Sports,123.97,1,0.0,123.97,123.97,89.99,33.98,Bank Transfer,New,48.0,Female,5.0,6.0
ORD105921,2024-08-05,North,Store_10,Clothing,151.98,1,0.0,151.98,151.98,91.02,60.96,Mobile Wallet,Returning,30.0,Other,4.8,3.0
ORD100706,2023-01-06,South,Store_15,Electronics,328.12,1,0.0,328.12,328.12,225.4,102.72,Bank Transfer,Returning,49.0,Female,3.4,2.0
ORD103639,2024-03-28,East,Store_15,Groceries,23.09,2,0.0,46.18,46.18,27.13,19.05,Cash,New,22.0,Female,4.9,3.0
ORD101128,2024-02-11,North,Store_07,Home & Living,18.25,2,0.0,36.5,36.5,22.36,14.14,Credit Card,New,73.0,Female,3.6,3.0
ORD103249,2023-10-16,South,Store_07,Sports,101.7,1,0.0,101.7,1513.5423574950294,75.76,335.13820466019286,Cash,New,,Male,5.0,0.0
ORD104407,2023-05-16,East,Store_17,Sports,24.47,4,0.0,97.88,97.88,45.45,52.43,Cash,New,27.0,Female,5.0,2.0
ORD104101,2024-12-21,East,Store_12,Sports,133.9,2,0.0,428.48,428.48,210.27,218.21,Cash,VIP,51.0,Male,5.0,0.0
ORD102352,2024-06-05,South,Store_16,Electronics,579.6,1,15.0,695.52,591.19,288.25,302.94,Cash,New,59.0,Male,1.7,5.0
ORD105061,2024-03-28,North,Store_16,Sports,102.81,1,0.0,102.81,102.81,65.09,37.72,Mobile Wallet,Returning,40.0,Other,4.6,5.0
ORD105377,2023-07-06,South,Store_17,Home & Living,404.77,1,0.0,485.72,485.72,324.14,161.58,Cash,Returning,53.0,Male,,0.0
ORD103337,2023-02-06,West,Store_19,Clothing,183.51,2,0.0,367.02,367.02,205.48,161.54,Bank Transfer,Returning,18.0,Female,4.3,5.0
ORD104215,2024-12-25,South,Store_04,Electronics,812.25,2,0.0,2599.2,2599.2,1471.43,1127.77,Cash,VIP,17.0,Female,3.5,6.0
ORD104360,2023-01-06,East,Store_15,Clothing,11.9,1,5.0,11.9,11.3,7.59,3.71,Cash,New,30.0,Female,4.8,2.0
ORD103986,2023-08-15,East,Store_03,Groceries,30.78,1,5.0,30.78,29.24,16.04,13.2,Bank Transfer,New,36.0,Male,,4.0
ORD100610,2024-08-31,East,Store_18,Clothing,12.84,2,5.0,25.68,24.4,11.14,13.26,Mobile Wallet,New,32.0,,4.1,2.0
ORD104061,2023-01-16,East,Store_01,Groceries,48.16,2,5.0,96.32,91.5,52.39,39.11,Bank Transfer,Returning,33.0,Female,2.8,1.0
ORD105235,2024-09-20,North,Store_09,Groceries,26.95,2,10.0,53.9,48.51,30.13,18.38,Cash,New,48.0,Male,4.6,4.0
ORD104218,2024-01-20,North,Store_18,Sports,185.4,1,25.0,185.4,139.05,63.67,75.38,Mobile Wallet,New,36.0,Female,4.4,0.0
ORD103171,2024-11-16,North,Store_18,Groceries,25.01,1,25.0,40.02,30.01,16.32,13.69,Bank Transfer,VIP,49.0,Male,,2.0
ORD102873,2023-06-09,West,Store_10,Clothing,109.88,1,0.0,131.86,131.86,83.83,48.03,Debit Card,VIP,38.0,Female,3.6,
ORD102094,2023-04-29,East,Store_10,Groceries,40.78,1,5.0,40.78,38.74,28.73,10.01,Cash,VIP,28.0,Male,4.3,4.0
ORD104351,2024-02-18,South,Store_06,Beauty,40.38,1,0.0,40.38,40.38,30.16,10.22,Debit Card,Returning,,Female,2.7,3.0
ORD103701,2023-06-18,West,Store_10,Groceries,31.84,1,20.0,38.21,30.57,14.87,15.7,Debit Card,New,43.0,Male,3.8,4.0
ORD103132,2024-07-08,South,Store_15,Clothing,56.22,1,0.0,67.46,67.46,46.79,20.67,Cash,Returning,18.0,Male,3.0,6.0
ORD102055,2023-09-25,North,Store_20,Electronics,498.3,1,5.0,498.3,473.38,353.25,120.13,Debit Card,New,16.0,Male,2.8,5.0
ORD101708,2023-06-27,East,Store_13,Groceries,42.82,1,15.0,51.38,43.67,20.09,23.58,Cash,New,60.0,Other,5.0,3.0
ORD101394,2023-06-07,South,Store_11,Sports,113.29,2,5.0,271.9,258.31,171.81,86.5,Bank Transfer,New,21.0,Male,3.9,7.0
